country_code,postal_code_clean,city_raw,city_normalized,city_normalization_confidence,city_normalization_method,city_normalization_note,admin_region,admin_district,latitude,longitude,geonames_places_count,geonames_place_names
CZ,76852,Ludslavice,Ludslavice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.284725,17.5483,4,Ludslavice | Kurovice | Míškovice | Lechotice
CZ,76861,Rychlov,Rychlov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.408667,17.673167,12,Rychlov | Osíčko | Bílavsko | Libosváry | Slavkov pod Hostýnem | Mrlínek | Brusné | Sovadina | Blazice | Chomýž | Bystřice pod Hostýnem | Vítonice
CZ,76871,Rajnochovice,Rajnochovice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.422767,17.796233,3,Rajnochovice | Podhradní Lhota | Komárno
CZ,76872,Chvalčov,Chvalčov,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Zlínský kraj,Kroměříž,49.3892,17.7115,1,Chvalčov
CZ,76875,Loukov,Loukov,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Zlínský kraj,Kroměříž,49.4218,17.721,1,Loukov
CZ,76901,Martinice,Martinice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.328513,17.578047,15,Martinice | Všetuly | Přílepy | Holešov | Rymice | Bořenovice | Žopy | Třebětice | Jankovice | Zahnašovice | Dobrotice | Žeranovice | Horní Lapač | Količín | Tučapy
CZ,77200,Svatý Kopeček,Svatý Kopeček,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.594383,17.289029,24,Svatý Kopeček | Lazce | Daskabát | Žerůvky | Olomouc | Bělidla | Týneček | Radíkov | Hodolany | Bukovany | Bystročice | Droždín | Klášterní Hradisko | Černovír | Neředín | Bystrovany | Pavlovičky | Topolany | Nový Svět | Samotíšky
CZ,77900,Hejčín,Hejčín,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.59122,17.2456,5,Hejčín | Nová Ulice | Nové Sady | Řepčín | Povel
CZ,78301,Slavonín,Slavonín,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.5627,17.2419,2,Slavonín | Nemilany
CZ,78305,Horní Loděnice,Horní Loděnice,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Olomoucký kraj,Olomouc,49.771,17.3772,1,Horní Loděnice
CZ,78306,Hraničné Petrovice,Hraničné Petrovice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.7353,17.46445,4,Hraničné Petrovice | Město Libavá | Domašov nad Bystřicí | Heroltovice
CZ,78313,Moravská Huzová,Moravská Huzová,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.684425,17.23105,4,Moravská Huzová | Štěpánov | Liboš | Březce
